fila_en_cuadro,cuadro_origen,pagina_pdf,departamento,provincia_o_grupo,localidad_o_subtipo,rotulo_1_derivado_del_bloque,n_columnas,columna,valor,fragmentos_encabezado,es_ultima_columna,columna_rotulo_canonico,columna_codigo_canonico,tipo_columna,fila_id,fila_rotulo_canonico,fila_codigo_canonico,tipo_entidad,estructura_fila,fila_padre_id,nivel_jerarquia,es_hoja_jerarquia,departamento_derivado,gestion,revisado_manual
2,4.1.4,112,COCHABAMBA,Ayopaya,Independencia,False,19,col_01,22493,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
3,4.1.4,112,COCHABAMBA,Ayopaya,Morochata,False,19,col_01,10555,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
4,4.1.4,112,COCHABAMBA,Esteban Arce,Tarata,False,19,col_01,10033,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
5,4.1.4,112,COCHABAMBA,Esteban Arce,Anzaldo,False,19,col_01,5182,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
6,4.1.4,112,COCHABAMBA,Arani,Arani,False,19,col_01,9294,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
7,4.1.4,112,COCHABAMBA,Arque,Arque,False,19,col_01,9987,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
8,4.1.4,112,COCHABAMBA,Capinota,Capinota,False,19,col_01,21252,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
9,4.1.4,112,COCHABAMBA,Capinota,Santiváñez,False,19,col_01,6722,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
10,4.1.4,112,COCHABAMBA,German Jordán Cliza,,False,19,col_01,22402,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
11,4.1.4,112,COCHABAMBA,Quillacollo,Quillacollo,False,19,col_01,185142,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
12,4.1.4,112,COCHABAMBA,Quillacollo,Sipe Sipe,False,19,col_01,48275,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
13,4.1.4,112,COCHABAMBA,Quillacollo,Colcapirhua,False,19,col_01,64061,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
14,4.1.4,112,COCHABAMBA,Quillacollo,Tiquipaya,False,19,col_01,60239,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
15,4.1.4,112,COCHABAMBA,Quillacollo,Vinto,False,19,col_01,52945,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
16,4.1.4,112,COCHABAMBA,Chapare,Sacaba,False,19,col_01,184593,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
